productid,product_brand,product_name,product_category,price_inr,discount_price,percentage,currency,delivery_options,expiration_date,packaging_type,country_origin,image_url,description_1,description_2,customer_review1,customer_reviewer1,customer_review2,customer_reviewer2,customer_review3,customer_reviewer3,customer_review4,customer_reviewer4,available_size1,available_size2,available_size3,available_size4,additional_feature2,additional_feature3,additional_feature1,npk_ratio
1011,GreenGrow,Nitrogen Booster,Organic Fertilizer,969,871,11,INR,Same Day Delivery,11-06-2026,Bottle,India,http://drive.google.com/thumbnail?id=1dqBiwPepXOOoZ0dzrwjakZyZ9jZMN754&sz=s401,"Nitrogen Booster boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Nitrogen Booster, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Lakshmi,"Easy to use, results are visible within weeks.",Deepak,Boosted plant growth significantly.,Shiva,Plants look greener and healthier now.,Divya,250grms,750grms,1kg,5kg,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.","Rapidly provides essential nutrients, ensuring immediate nourishment for plants.","Give your plants a boost with Nitrogen Booster, enhancing overall plant vitality.",22:09:05
1012,AgriBoost,Liquid Plant Tonic,Chemical Fertilizer,715,628,13,INR,Standard Delivery,03-11-2025,Bottle,India,http://drive.google.com/thumbnail?id=1YzWZxWGpsLkuHbxzzkt4_vHxiWTfXU2g&sz=s401,"Maximize your garden's potential with Liquid Plant Tonic, specially formulated for robust development.","Ensure vibrant plant life with Liquid Plant Tonic, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Harini,"Would buy again, very satisfied.",Neha,"Easy to use, results are visible within weeks.",Deepak,"Worked wonders for my plants, great quality.",Kunal,250grms,750grms,1kg,5kg,Enhances root growth and strengthens plant immunity.,Improves soil aeration and water retention.,"Formulated for Liquid Plant Tonic, enhancing your soil's fertility and plant resilience.",20:08:04
1013,SoilSaver,Calcium Nitrate,Bio-Fertilizer,941,903,4,INR,Standard Delivery,27-11-2026,Bottle,India,http://drive.google.com/thumbnail?id=17mcrQ4w4O3tHvZMNjVsY6mPMJEqii0zr&sz=s401,"Maximize your garden's potential with Calcium Nitrate, specially formulated for robust development.","Ensure vibrant plant life with Calcium Nitrate, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Ramesh,"Easy to use, results are visible within weeks.",Ananya,"Better than expected, highly effective.",Shiva,"Better than expected, highly effective.",Shiva,250grms,750grms,2kgs,5kg,Helps balance soil pH for better nutrient uptake and plant health.,Enhances root growth and strengthens plant immunity.,"With Calcium Nitrate, enjoy healthier plants with faster root development.",22:10:04
1014,AgriBoost,Bio Phosphate,Organic Fertilizer,762,721,6,INR,Standard Delivery,02-11-2026,Bag,India,http://drive.google.com/thumbnail?id=1EbOshfJKAniP8NSGZoTm2CpAFLgCkFuA&sz=s401,Give your plants the nourishment they deserve with Bio Phosphate.,"Ensure vibrant plant life with Bio Phosphate, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Rahul,"Highly effective for my garden, plants are thriving!",Amit,Plants look greener and healthier now.,Jagadeesh,Boosted plant growth significantly.,Kunal,250grms,500g,2kgs,5kg,Enhances root growth and strengthens plant immunity.,Enriched with essential nutrients for faster growth.,"Formulated for Bio Phosphate, enhancing your soil's fertility and plant resilience.",15:07:04
1015,AgriBoost,Compost Plus,Bio-Fertilizer,898,807,11,INR,Standard Delivery,09-03-2026,Bag,India,http://drive.google.com/thumbnail?id=1JLRzgkC-U4-6s1ivcTBKnGFIGtsXjbiW&sz=s401,"Compost Plus boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Compost Plus, offering superior nutrient absorption and growth acceleration.","Perfect for organic gardening, very effective.",Pooja,Boosted plant growth significantly.,Rajesh,My flowers are thriving thanks to this compost!,Ananya,"Would buy again, very satisfied.",Ramya,250grms,750grms,2kgs,5kg,"Maintains effectiveness for longer periods, ensuring durability in storage.",Enhances soil aeration and nutrient content.,"Formulated for Compost Plus, enhancing your soil's fertility and plant resilience.",16:07:06
1016,AgriBoost,Urea Fertilizer,Chemical Fertilizer,412,373,10,INR,Free Shipping,23-03-2026,Bag,India,http://drive.google.com/thumbnail?id=1Uas_-qsrORtaLOLc9_vPxZDF6X3F1xj9&sz=s401,"Get exceptional growth with Urea Fertilizer, your plants' best ally.","Ensure vibrant plant life with Urea Fertilizer, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Harini,"Highly effective for my garden, plants are thriving!",Rahul,"Would buy again, very satisfied.",Jagadeesh,Plants look greener and healthier now.,Neha,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,Helps balance soil pH for better nutrient uptake and plant health.,"Give your plants a boost with Urea Fertilizer, enhancing overall plant vitality.",15:06:04
1017,AgriBoost,Granular NPK Fertilizer,Organic Fertilizer,315,268,16,INR,Standard Delivery,23-11-2026,Bottle,India,http://drive.google.com/thumbnail?id=1xdR9v9BPVBt5uuGgQzkGW0ZeNt0DS_7h&sz=s401,"Get exceptional growth with Granular NPK Fertilizer, your plants' best ally.","Ensure vibrant plant life with Granular NPK Fertilizer, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Ananya,"Easy to use, results are visible within weeks.",Amit,"Good value for money, effective results.",Neha,"Excellent product, highly recommended!",Divya,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,Helps balance soil pH for better nutrient uptake and plant health.,"Formulated for Granular NPK Fertilizer, enhancing your soil's fertility and plant resilience.",22:07:04
1018,CropMax,Compost Plus,Bio-Fertilizer,566,498,13,INR,Standard Delivery,03-06-2026,Bag,India,http://drive.google.com/thumbnail?id=1-TTg0ytf6dMAE2V2IHwKdE5m6vbiPsxn&sz=s401,"Get exceptional growth with Compost Plus, your plants' best ally.","Ensure vibrant plant life with Compost Plus, offering superior nutrient absorption and growth acceleration.","Improved soil texture, and plants are greener.",Suresh,"Impressive results, easy to apply.",Thanuja,My flowers are thriving thanks to this compost!,Deepak,"Impressive results, easy to apply.",Jagadeesh,250grms,750grms,2kgs,5kg,Helps balance soil pH for better nutrient uptake and plant health.,Enhances soil aeration and nutrient content.,"Give your plants a boost with Compost Plus, enhancing overall plant vitality.",16:09:06
1019,SoilSaver,Bone Meal,Organic Fertilizer,572,541,6,INR,Standard Delivery,13-04-2026,Canister,India,http://drive.google.com/thumbnail?id=1uk9esEHaLtPCRyqDayULtBIKYmyg6n4T&sz=s401,"Maximize your garden's potential with Bone Meal, specially formulated for robust development.","Ensure vibrant plant life with Bone Meal, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Ananya,"Easy to use, results are visible within weeks.",Sanjeev,Boosted plant growth significantly.,Meghana,Boosted plant growth significantly.,Kunal,250grms,500g,2kgs,5kg,"Maintains effectiveness for longer periods, ensuring durability in storage.",Helps balance soil pH for better nutrient uptake and plant health.,"Give your plants a boost with Bone Meal, enhancing overall plant vitality.",16:06:04
1020,AgriBoost,Compost Plus,Organic Fertilizer,916,877,4,INR,Same Day Delivery,17-01-2025,Canister,India,http://drive.google.com/thumbnail?id=1qwhVF9mmpfLDhi1i1PuZUfSdRdKvl1F&sz=s401,"Get exceptional growth with Compost Plus, your plants' best ally.","Ensure vibrant plant life with Compost Plus, offering superior nutrient absorption and growth acceleration.","Perfect for organic gardening, very effective.",Pooja,My flowers are thriving thanks to this compost!,Amit,"Better than expected, highly effective.",Jagadeesh,My crops have never been healthier!,Aditi,250grms,750grms,1kg,5kg,Balances soil pH for optimal plant health.,Enhances soil aeration and nutrient content.,"Give your plants a boost with Compost Plus, enhancing overall plant vitality.",22:08:04
1021,AgriBoost,Calcium Nitrate,Bio-Fertilizer,854,801,6,INR,Standard Delivery,18-10-2025,Canister,India,http://drive.google.com/thumbnail?id=1CzjuD1chmPFzxGsLvsk4DPHYPzIMMi5Y&sz=s402,"Calcium Nitrate boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Calcium Nitrate, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Suresh,"Easy to use, results are visible within weeks.",Venkat,"Good quality fertilizer, improved soil health significantly.",Sonal,Noticeable improvement in soil fertility.,Kunal,250grms,750grms,2kgs,5kg,"Enhances soil structure, improving root growth and overall plant health.","Maintains effectiveness for longer periods, ensuring durability in storage.","Formulated for Calcium Nitrate, enhancing your soil's fertility and plant resilience.",15:08:04
1022,SoilSaver,Micronutrient Mix,Bio-Fertilizer,796,701,13,INR,Standard Delivery,13-11-2026,Bag,India,http://drive.google.com/thumbnail?id=1u_7WhcQETqONAzEN_7LS-t_CcflXaUDy&sz=s402,"Get exceptional growth with Micronutrient Mix, your plants' best ally.","Ensure vibrant plant life with Micronutrient Mix, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Venkat,Noticeable improvement in soil fertility.,Rajesh,"Good quality fertilizer, improved soil health significantly.",Harini,"Would buy again, very satisfied.",Divya,250grms,750grms,2kgs,5kg,"Rapidly provides essential nutrients, ensuring immediate nourishment for plants.","Ideal for all plant types, including flowers, vegetables, and lawns.","With Micronutrient Mix, enjoy healthier plants with faster root development.",16:08:06
1023,EcoFert,Compost Plus,Chemical Fertilizer,556,515,8,INR,Free Shipping,12-07-2026,Bag,India,http://drive.google.com/thumbnail?id=1ic4LNxDspMFziKks7eI1V824X8hR9Et5&sz=s402,"Maximize your garden's potential with Compost Plus, specially formulated for robust development.","Ensure vibrant plant life with Compost Plus, offering superior nutrient absorption and growth acceleration.","Improved soil texture, and plants are greener.",Deepak,"Would buy again, very satisfied.",Rajesh,My flowers are thriving thanks to this compost!,Priya,"Perfect for organic gardening, very effective.",Ananya,250grms,750grms,2kgs,5kg,Enhances soil aeration and nutrient content.,"Ideal for all plant types, including flowers, vegetables, and lawns.","Formulated for Compost Plus, enhancing your soil's fertility and plant resilience.",20:06:04
1024,EcoFert,Super Phosphate,Bio-Fertilizer,812,757,7,INR,Free Shipping,29-10-2025,Bag,India,http://drive.google.com/thumbnail?id=136Riib4Io0321pKBgB-vbHktU9naGJag&sz=s402,"Maximize your garden's potential with Super Phosphate, specially formulated for robust development.","Ensure vibrant plant life with Super Phosphate, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Priya,"Good quality fertilizer, improved soil health significantly.",Pooja,"Highly effective for my garden, plants are thriving!",Ramesh,"Would buy again, very satisfied.",Divya,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,"Ideal for all plant types, including flowers, vegetables, and lawns.","Give your plants a boost with Super Phosphate, enhancing overall plant vitality.",15:06:05
1025,CropMax,Potash Boost,Chemical Fertilizer,401,378,6,INR,Free Shipping,07-05-2026,Bag,India,http://drive.google.com/thumbnail?id=1LInh1feOHOhrGqbsVMbXC1kNfjEgmPzj&sz=s402,"Get exceptional growth with Potash Boost, your plants' best ally.","Ensure vibrant plant life with Potash Boost, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Pooja,"Excellent product, highly recommended!",Rohan,"Good quality fertilizer, improved soil health significantly.",Manish,Plants look greener and healthier now.,Aditi,250grms,750grms,2kgs,5kg,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.",Enhances root growth and strengthens plant immunity.,"Potash Boost guarantees optimal nutrient release, keeping plants healthy for weeks.",15:10:04
1026,CropMax,Seaweed Extract Fertilizer,Organic Fertilizer,961,927,4,INR,Standard Delivery,08-07-2024,Bottle,India,http://drive.google.com/thumbnail?id=1dCXGCl9IbOhk2x_4rC4gcTZ_UKjfsnjz&sz=s402,Give your plants the nourishment they deserve with Seaweed Extract Fertilizer.,"Ensure vibrant plant life with Seaweed Extract Fertilizer, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Pooja,"Would buy again, very satisfied.",Anjali,"Good value for money, effective results.",Vikram,Plants look greener and healthier now.,Shiva,250grms,750grms,2kgs,5kg,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.",Enriched with essential nutrients for faster growth.,"Give your plants a boost with Seaweed Extract Fertilizer, enhancing overall plant vitality.",22:08:03
1027,CropMax,Bio Phosphate,Chemical Fertilizer,367,285,25,INR,Free Shipping,13-05-2025,Bag,India,http://drive.google.com/thumbnail?id=1IWqjh7uZ8jVCSlffUJU8ADzpn7CZVfKr&sz=s402,"Bio Phosphate boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Bio Phosphate, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Deepak,"Easy to use, results are visible within weeks.",Ananya,"Highly effective for my garden, plants are thriving!",Pooja,Boosted plant growth significantly.,Meera,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,"Ideal for all plant types, including flowers, vegetables, and lawns.","Bio Phosphate guarantees optimal nutrient release, keeping plants healthy for weeks.",22:09:05
1028,CropMax,Poultry Manure,Chemical Fertilizer,662,603,9,INR,Same Day Delivery,18-07-2026,Bag,India,http://drive.google.com/thumbnail?id=1aW9oQw1harRKkiNUzY8sMd5gqRe8DadW&sz=s402,"Maximize your garden's potential with Poultry Manure, specially formulated for robust development.","Ensure vibrant plant life with Poultry Manure, offering superior nutrient absorption and growth acceleration.","Great for crops, enhanced soil fertility visibly.",Sonal,"Perfect for my vegetable garden, saw quick growth!",Harini,"Boosted my farm yield, excellent organic product.",Manish,Noticeable improvement in soil fertility.,Divya,250grms,750grms,2kgs,5kg,Improves soil structure and water retention.,"Rich in nitrogen, phosphorus, and potassium for strong plant growth.","Give your plants a boost with Poultry Manure, enhancing overall plant vitality.",16:09:06
1029,AgriBoost,Poultry Manure,Chemical Fertilizer,482,442,9,INR,Same Day Delivery,15-04-2026,Bag,India,http://drive.google.com/thumbnail?id=1ctLEvDZ3Ct0Po4AfsPkxytvGJe1abeHM&sz=s402,Give your plants the nourishment they deserve with Poultry Manure.,"Ensure vibrant plant life with Poultry Manure, offering superior nutrient absorption and growth acceleration.","Perfect for my vegetable garden, saw quick growth!",Harini,"Worked wonders for my plants, great quality.",Shiva,"Boosted my farm yield, excellent organic product.",Neha,"Great for crops, enhanced soil fertility visibly.",Venkat,250grms,750grms,2kgs,5kg,Boosts soil microbial activity for healthier crops.,"Enhances soil structure, improving root growth and overall plant health.","With Poultry Manure, enjoy healthier plants with faster root development.",22:09:04
1030,EcoFert,Compost Plus,Organic Fertilizer,907,825,9,INR,Standard Delivery,03-05-2026,Canister,India,http://drive.google.com/thumbnail?id=1gsUBlpXotheYj-8w1W_gYD6TNr_fraLd&sz=s402,Give your plants the nourishment they deserve with Compost Plus.,"Ensure vibrant plant life with Compost Plus, offering superior nutrient absorption and growth acceleration.","Improved soil texture, and plants are greener.",Pooja,My crops have never been healthier!,Ramya,My flowers are thriving thanks to this compost!,Sonal,Plants look greener and healthier now.,Rohan,250grms,750grms,2kgs,5kg,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.",Enhances soil aeration and nutrient content.,"Formulated for Compost Plus, enhancing your soil's fertility and plant resilience.",22:07:05
1031,GreenGrow,Granular NPK Fertilizer,Organic Fertilizer,605,519,15,INR,Free Shipping,20-01-2026,Bag,India,http://drive.google.com/thumbnail?id=16m46yzpquKpma1YcgaZ-RYsUhXd7MfmJ&sz=s403,"Granular NPK Fertilizer boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Granular NPK Fertilizer, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Sanjeev,"Easy to use, results are visible within weeks.",Priya,"Highly effective for my garden, plants are thriving!",Rahul,Noticeable improvement in soil fertility.,Neha,250grms,750grms,2kgs,5kg,"Enhances soil structure, improving root growth and overall plant health.",Improves soil aeration and water retention.,"Formulated for Granular NPK Fertilizer, enhancing your soil's fertility and plant resilience.",16:09:06
1032,SoilSaver,DAP (Di-Ammonium Phosphate),Bio-Fertilizer,810,777,4,INR,Free Shipping,18-09-2026,Bottle,India,http://drive.google.com/thumbnail?id=157wnrxLUE54BHM6uVI30gsKTWYmA-obm&sz=s403,"DAP (Di-Ammonium Phosphate) boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with DAP (Di-Ammonium Phosphate), offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Venkat,"Easy to use, results are visible within weeks.",Ananya,Plants look greener and healthier now.,Rajesh,"Good quality fertilizer, improved soil health significantly.",Sonal,250grms,750grms,2kgs,5kg,"Safe for plants, pets, and children with natural, non-toxic ingredients.",Enhances root growth and strengthens plant immunity.,"DAP (Di-Ammonium Phosphate) guarantees optimal nutrient release, keeping plants healthy for weeks.",22:08:04
1033,GreenGrow,Organic Manure,Organic Fertilizer,540,481,12,INR,Free Shipping,14-01-2026,Canister,India,http://drive.google.com/thumbnail?id=178hY4qWVuouzCWG5RFlkd9_SPrr3MRh-&sz=s403,"Maximize your garden's potential with Organic Manure, specially formulated for robust development.","Ensure vibrant plant life with Organic Manure, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Sonal,"Highly effective for my garden, plants are thriving!",Manish,"Good quality fertilizer, improved soil health significantly.",Neha,"Better than expected, highly effective.",Anjali,250grms,750grms,1kg,5kg,Enriched with essential nutrients for faster growth.,Improves soil aeration and water retention.,"Give your plants a boost with Organic Manure, enhancing overall plant vitality.",16:10:03
1034,AgriBoost,Organic Manure,Chemical Fertilizer,440,396,11,INR,Free Shipping,15-07-2025,Bottle,India,http://drive.google.com/thumbnail?id=1U_SKdIl10c3WR4q6rYHHPvRPFWUyUf3O&sz=s403,Give your plants the nourishment they deserve with Organic Manure.,"Ensure vibrant plant life with Organic Manure, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Neha,"Excellent product, highly recommended!",Neha,"Highly effective for my garden, plants are thriving!",Ananya,"Impressive results, easy to apply.",Rohan,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,Helps balance soil pH for better nutrient uptake and plant health.,"Give your plants a boost with Organic Manure, enhancing overall plant vitality.",18:08:05
1035,SoilSaver,Humic Acid Fertilizer,Bio-Fertilizer,868,817,6,INR,Same Day Delivery,28-11-2026,Bag,India,http://drive.google.com/thumbnail?id=1gjCnvLY-EusmeZKyC2DtUZNj0z-9Jxjo&sz=s403,"Humic Acid Fertilizer boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Humic Acid Fertilizer, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Manish,"Highly effective for my garden, plants are thriving!",Sonal,"Good value for money, effective results.",Jagadeesh,Boosted plant growth significantly.,Rajesh,250grms,750grms,2kgs,5kg,"Rapidly provides essential nutrients, ensuring immediate nourishment for plants.",Helps balance soil pH for better nutrient uptake and plant health.,"Humic Acid Fertilizer guarantees optimal nutrient release, keeping plants healthy for weeks.",18:09:06
1036,SoilSaver,Compost Plus,Organic Fertilizer,314,251,22,INR,Same Day Delivery,13-09-2026,Bag,India,http://drive.google.com/thumbnail?id=1pT8zYJVTNkxwxSrapVfR6Nf3ZSKa0zU3&sz=s403,"Maximize your garden's potential with Compost Plus, specially formulated for robust development.","Ensure vibrant plant life with Compost Plus, offering superior nutrient absorption and growth acceleration.","Improved soil texture, and plants are greener.",Venkat,"Impressive results, easy to apply.",Anil,"Perfect for organic gardening, very effective.",Lakshmi,Noticeable improvement in soil fertility.,Rohan,250grms,750grms,2kgs,5kg,Enhances soil aeration and nutrient content.,Helps balance soil pH for better nutrient uptake and plant health.,"Compost Plus guarantees optimal nutrient release, keeping plants healthy for weeks.",15:07:04
